Source;Target;Type;id;weight
202;6;Undirected;622;0.0025
349;621;Undirected;623;0.0025
622;623;Undirected;624;0.0025
544;11;Undirected;625;0.0025
425;624;Undirected;626;0.005
13;121;Undirected;627;0.005
600;572;Undirected;628;0.0025
1;24;Undirected;629;0.0025
8;11;Undirected;630;0.0025
6;282;Undirected;631;0.0025
625;626;Undirected;632;0.0025
363;627;Undirected;633;0.0025
6;336;Undirected;634;0.0025
530;11;Undirected;635;0.0025
628;629;Undirected;636;0.0025
630;411;Undirected;637;0.0025
631;105;Undirected;638;0.0025
286;156;Undirected;639;0.0025
33;116;Undirected;640;0.0025
103;371;Undirected;641;0.0025
632;11;Undirected;642;0.0025
633;492;Undirected;643;0.0025
49;146;Undirected;644;0.0025
365;634;Undirected;645;0.0025
635;254;Undirected;646;0.0025
636;11;Undirected;647;0.0025
218;637;Undirected;648;0.0025
638;11;Undirected;649;0.0025
11;639;Undirected;650;0.0025
611;304;Undirected;651;0.0025
640;150;Undirected;652;0.0025
326;641;Undirected;653;0.0025
41;642;Undirected;654;0.0025
23;643;Undirected;655;0.0025
644;216;Undirected;656;0.0025
11;135;Undirected;657;0.0025
6;437;Undirected;658;0.0025
645;327;Undirected;659;0.0025
94;6;Undirected;660;0.0025
24;280;Undirected;661;0.0025
104;646;Undirected;662;0.0025
342;647;Undirected;663;0.0025
165;483;Undirected;664;0.0025
648;11;Undirected;665;0.0475
649;400;Undirected;666;0.0025
650;651;Undirected;667;0.0025
208;283;Undirected;668;0.0075
6;13;Undirected;669;0.0025
652;407;Undirected;670;0.0025
438;616;Undirected;671;0.0025
297;653;Undirected;672;0.0025
654;554;Undirected;673;0.0025
319;423;Undirected;674;0.0025
655;510;Undirected;675;0.0025
47;46;Undirected;676;0.0025
127;454;Undirected;677;0.0025
656;564;Undirected;678;0.0025
60;657;Undirected;679;0.0025
170;11;Undirected;680;0.005
304;658;Undirected;681;0.0025
307;24;Undirected;682;0.0025
121;6;Undirected;683;0.0075
659;414;Undirected;684;0.005
590;660;Undirected;685;0.0025
369;6;Undirected;686;0.0025
159;568;Undirected;687;0.01
257;661;Undirected;688;0.0025
121;144;Undirected;689;0.0025
662;558;Undirected;690;0.0025
189;663;Undirected;691;0.0025
360;6;Undirected;692;0.0025
232;483;Undirected;693;0.0025
575;11;Undirected;694;0.0025
68;664;Undirected;695;0.0025
121;438;Undirected;696;0.0025
665;666;Undirected;697;0.0025
649;401;Undirected;698;0.0025
667;668;Undirected;699;0.0025
176;669;Undirected;700;0.0025
670;6;Undirected;701;0.0025
6;238;Undirected;702;0.0025
671;154;Undirected;703;0.0125
26;672;Undirected;704;0.0025
673;268;Undirected;705;0.0025
81;571;Undirected;706;0.0025
4;362;Undirected;707;0.0025
674;675;Undirected;708;0.005
659;415;Undirected;709;0.005
183;11;Undirected;710;0.0025
676;663;Undirected;711;0.0025
228;677;Undirected;712;0.0025
678;6;Undirected;713;0.0025
679;6;Undirected;714;0.0025
24;288;Undirected;715;0.0025
93;11;Undirected;716;0.005
292;3;Undirected;717;0.0025
680;681;Undirected;718;0.0025
22;682;Undirected;719;0.0025
331;15;Undirected;720;0.0025
626;82;Undirected;721;0.0025
683;11;Undirected;722;0.0025
11;637;Undirected;723;0.0025
102;339;Undirected;724;0.0025
11;266;Undirected;725;0.0025
55;383;Undirected;726;0.0025
151;6;Undirected;727;0.0775
155;93;Undirected;728;0.0025
684;254;Undirected;729;0.0025
454;128;Undirected;730;0.0025
11;685;Undirected;731;0.0025
6;418;Undirected;732;0.0075
6;686;Undirected;733;0.0025
687;11;Undirected;734;0.0025
493;536;Undirected;735;0.0025
24;428;Undirected;736;0.0025
129;93;Undirected;737;0.0025
208;93;Undirected;738;0.0025
171;151;Undirected;739;0.065
146;24;Undirected;740;0.0025
688;255;Undirected;741;0.0025
383;689;Undirected;742;0.0025
214;690;Undirected;743;0.005
304;242;Undirected;744;0.0025
691;502;Undirected;745;0.0025
416;667;Undirected;746;0.0025
692;6;Undirected;747;0.0025
693;11;Undirected;748;0.0025
671;200;Undirected;749;0.0125
626;634;Undirected;750;0.0025
193;11;Undirected;751;0.0175
694;695;Undirected;752;0.0025
289;696;Undirected;753;0.0025
301;697;Undirected;754;0.005
111;50;Undirected;755;0.0025
56;291;Undirected;756;0.0025
219;620;Undirected;757;0.0025
11;698;Undirected;758;0.0025
49;406;Undirected;759;0.0025
257;92;Undirected;760;0.0025
192;681;Undirected;761;0.0025
102;11;Undirected;762;0.0025
248;118;Undirected;763;0.0025
699;409;Undirected;764;0.0025
42;700;Undirected;765;0.0025
432;474;Undirected;766;0.0025
85;701;Undirected;767;0.0025
671;610;Undirected;768;0.0125
452;702;Undirected;769;0.0025
326;114;Undirected;770;0.0025
703;6;Undirected;771;0.0025
279;6;Undirected;772;0.0025
704;581;Undirected;773;0.0025
6;705;Undirected;774;0.0025
442;400;Undirected;775;0.0025
630;706;Undirected;776;0.0025
85;406;Undirected;777;0.0025
707;708;Undirected;778;0.0025
258;6;Undirected;779;0.0025
137;178;Undirected;780;0.0025
709;293;Undirected;781;0.005
710;711;Undirected;782;0.0025
374;392;Undirected;783;0.0025
224;712;Undirected;784;0.0025
6;458;Undirected;785;0.0075
713;140;Undirected;786;0.0025
380;55;Undirected;787;0.0025
443;330;Undirected;788;0.0025
246;531;Undirected;789;0.0025
6;714;Undirected;790;0.0025
715;174;Undirected;791;0.0025
257;6;Undirected;792;0.0025
303;637;Undirected;793;0.0025
216;531;Undirected;794;0.0025
716;717;Undirected;795;0.0025
718;6;Undirected;796;0.005
355;719;Undirected;797;0.0025
176;682;Undirected;798;0.0025
720;6;Undirected;799;0.0025
533;721;Undirected;800;0.0025
121;721;Undirected;801;0.0025
6;722;Undirected;802;0.0025
11;723;Undirected;803;0.0025
724;266;Undirected;804;0.0025
11;280;Undirected;805;0.0025
268;725;Undirected;806;0.0025
11;624;Undirected;807;0.005
6;414;Undirected;808;0.005
6;637;Undirected;809;0.0025
586;11;Undirected;810;0.0025
11;24;Undirected;811;0.0675
501;612;Undirected;812;0.005
164;11;Undirected;813;0.0025
610;154;Undirected;814;0.0125
212;726;Undirected;815;0.0025
4;527;Undirected;816;0.005
107;727;Undirected;817;0.0025
47;258;Undirected;818;0.0025
29;366;Undirected;819;0.0025
728;11;Undirected;820;0.0025
68;266;Undirected;821;0.0025
729;6;Undirected;822;0.0025
730;3;Undirected;823;0.0025
4;505;Undirected;824;0.0025
97;526;Undirected;825;0.0025
731;458;Undirected;826;0.0025
190;64;Undirected;827;0.0025
366;6;Undirected;828;0.005
4;48;Undirected;829;0.0025
732;733;Undirected;830;0.0025
283;11;Undirected;831;0.0075
387;734;Undirected;832;0.0025
268;735;Undirected;833;0.0025
216;64;Undirected;834;0.0025
578;6;Undirected;835;0.0025
192;680;Undirected;836;0.0025
23;670;Undirected;837;0.0025
192;140;Undirected;838;0.0025
580;517;Undirected;839;0.0025
736;737;Undirected;840;0.0025
23;257;Undirected;841;0.0025
534;16;Undirected;842;0.0025
251;11;Undirected;843;0.0025
107;195;Undirected;844;0.0025
607;110;Undirected;845;0.0025
500;738;Undirected;846;0.005
543;295;Undirected;847;0.005
23;739;Undirected;848;0.0025
320;6;Undirected;849;0.0025
123;11;Undirected;850;0.0025
418;740;Undirected;851;0.0025
11;269;Undirected;852;0.0025
6;741;Undirected;853;0.0025
427;11;Undirected;854;0.0025
742;11;Undirected;855;0.0025
571;121;Undirected;856;0.0025
107;196;Undirected;857;0.0025
23;731;Undirected;858;0.01
6;697;Undirected;859;0.005
6;726;Undirected;860;0.0025
232;219;Undirected;861;0.0025
553;624;Undirected;862;0.005
6;5;Undirected;863;0.0075
743;744;Undirected;864;0.0025
745;11;Undirected;865;0.0025
278;80;Undirected;866;0.0075
636;121;Undirected;867;0.0025
260;735;Undirected;868;0.0025
253;623;Undirected;869;0.0025
30;433;Undirected;870;0.0025
237;712;Undirected;871;0.0025
428;345;Undirected;872;0.0025
177;446;Undirected;873;0.0025
208;282;Undirected;874;0.0075
746;23;Undirected;875;0.0025
122;747;Undirected;876;0.0025
